State,District,Year,District Year,Dem%,Rep%,Oth%,M%,Winner
WA,2,2004,2004,51,47.2,1.8,-3.9,Kerry
WA,3,2004,2004,48.3,50.1,1.6,1.9,Bush
WA,4,2004,2004,35.5,63.1,1.5,27.6,Bush
WA,5,2004,2004,41,57.2,1.8,16.2,Bush
WA,6,2004,2004,53.3,45,1.8,-8.2,Kerry
WA,7,2004,2004,79.2,19.3,1.5,-59.9,Kerry
WA,8,2004,2004,50.7,48.1,1.2,-2.7,Kerry
WA,9,2004,2004,52.9,45.7,1.4,-7.2,Kerry
WV,1,2004,2004,41.5,57.7,0.8,16.2,Bush
WV,2,2004,2004,42.4,57,0.7,14.6,Bush
WV,3,2004,2004,46.1,53.2,0.7,7.2,Bush
WI,1,2004,2004,46.1,53.5,0.4,7.5,Bush
WI,2,2004,2004,61.9,37.3,0.8,-24.5,Kerry
WI,3,2004,2004,51.4,47.7,1,-3.7,Kerry
WI,4,2004,2004,70,30,0,-40,Kerry
WI,5,2004,2004,36.3,63.5,0.2,27.1,Bush
WI,6,2004,2004,42.5,56.5,1,14,Bush
WI,7,2004,2004,50.2,48.8,1.1,-1.4,Kerry
WI,8,2004,2004,44.3,55,0.7,10.7,Bush
WY,1,2004,2004,29.1,68.9,2.1,39.8,Bush
AL,1,2004,2012,35,65,,30,Bush
AL,2,2004,2012,31,69,,37,Bush
AL,3,2004,2012,36,64,,29,Bush
AL,4,2004,2012,31,69,,37,Bush
AL,5,2004,2012,38,62,,24,Bush
AL,6,2004,2012,22,78,,56,Bush
AL,7,2004,2012,65,35,,-30,Kerry
AK,1,2004,2012,37,63,,27,Bush
AZ,1,2004,2012,49,51,,2,Bush
AZ,2,2004,2012,50,50,,1,Bush
AZ,3,2004,2012,57,43,,-13,Kerry
AZ,4,2004,2012,36,64,,28,Bush
AZ,5,2004,2012,34,66,,32,Bush
AZ,6,2004,2012,40,60,,19,Bush
AZ,7,2004,2012,61,39,,-22,Kerry
AZ,8,2004,2012,38,62,,24,Bush
AZ,9,2004,2012,49,51,,2,Bush
